School,Conf,Total Support,Ticket Sales,Contributions,Collective Funding
Air Force,MW,,,,0
Boise State,MW,"16,827,686","7,226,105","9,601,581",2765657
Colorado State,MW,"15,736,383","4,742,234","10,994,149",2586300
Fresno State,MW,"12,794,521","5,914,738","6,879,783",2102800
Nevada,MW,"12,172,431","7,325,678","4,846,753",2000558
Nevada-Las Vegas,MW,"16,871,536","7,034,986","9,836,550",2772864
New Mexico,MW,"10,808,972","4,510,754","6,298,218",1776472
San Diego State,MW,"25,302,315","5,624,459","19,677,856",4158476
San Jose State,MW,"6,093,864","608,561","5,485,303",1001536
Utah State,MW,"9,198,542","2,718,827","6,479,715",1511795
Wyoming,MW,"14,763,429","4,084,611","10,678,818",2426393
Hawaii (Football),MW,"6,399,998","1,950,230","4,449,768",1051850
Alabama at Birmingham,American,"7,550,624","2,306,791","5,243,833",1240957
East Carolina,American,"17,571,910","5,807,897","11,764,013",2887971
Florida Atlantic,American,"7,960,674","1,112,409","6,848,265",1308349
Memphis,American,"16,031,952","10,253,609","5,778,343",2634877
North Texas,American,"3,696,302","1,337,778","2,358,524",607493
Rice,American,,,,1471894
South Florida,American,"13,604,611","6,485,854","7,118,757",2235939
Southern Methodist,ACC,,,,0
Temple,American,,,,1471894
Texas at San Antonio,American,"6,439,323","3,315,102","3,124,221",1058313
Tulane,American,,,,1471894
Tulsa,American,,,,1471894
UNC Charlotte,American,"9,558,628","1,628,183","7,930,445",1570976
Wichita State,American,"12,002,372","4,713,121","7,289,251",1972609
Army (Football),Patriot,,,,0
Navy (Football),Patriot,,,,0
Appalachian State,Sun Belt,"11,715,090","5,407,791","6,307,299",1925394
Arkansas State,Sun Belt,"7,347,777","1,178,133","6,169,644",1207619
Coastal Carolina,Sun Belt,"2,237,128","1,306,549","930,579",367676
Georgia Southern,Sun Belt,"5,138,145","1,999,550","3,138,595",844462
Georgia State,Sun Belt,"4,753,087","606,809","4,146,278",781177
James Madison,Sun Belt,"7,348,797","3,564,462","3,784,335",1207786
Louisiana - Lafayette,Sun Belt,"7,817,600","2,411,959","5,405,641",1284835
Louisiana - Monroe,Sun Belt,"1,873,989","623,091","1,250,898",0
Marshall,Sun Belt,"8,901,037","2,946,763","5,954,274",1462900
Old Dominion,Sun Belt,"14,538,249","2,493,640","12,044,609",2389384
South Alabama,Sun Belt,"2,916,110","1,176,270","1,739,840",479267
Southern Mississippi,Sun Belt,"9,128,806","3,324,383","5,804,423",1500334
Texas State,Sun Belt,"3,644,980","1,191,968","2,453,012",599058
Troy,Sun Belt,"2,349,746","778,536","1,571,210",386184
Akron,MAC,-,-,-,1471894
Ball State,MAC,"2,075,931","795,202","1,280,729",341183
Bowling Green,MAC,"4,081,620","1,201,307","2,880,313",670821
Buffalo,MAC,"2,121,063","1,010,239","1,110,824",348600
Central Michigan,MAC,"3,321,120","682,078","2,639,042",0
Eastern Michigan,MAC,"3,952,951","771,271","3,181,680",0
Kent State,MAC,"974,748","313,217","661,531",160201
Miami,MAC,"3,664,322","745,947","2,918,375",0
Northern Illinois,MAC,"3,079,952","495,563","2,584,389",506195
Ohio,MAC,"3,099,615","1,234,040","1,865,575",509427
Toledo,MAC,"5,647,912","1,933,429","3,714,483",928243
Western Michigan,MAC,"5,031,984","1,460,058","3,571,926",827015
Florida International,CUSA,"1,399,013","774,837","624,176",229930
Jacksonville State,CUSA,,,,1471894
Kennesaw State University,CUSA,"2,206,872","635,600",-,362703
Liberty,CUSA,,,,1471894
Louisiana Tech,CUSA,,,,1471894
Middle Tennessee State,CUSA,,,,1471894
New Mexico State,CUSA,"4,137,703","1,465,012","2,672,691",680038
Sam Houston State,CUSA,"1,452,185","307,512","1,144,673",238669
Texas at El Paso,CUSA,"5,814,721","2,318,851","3,495,870",955659
Western Kentucky,CUSA,"5,296,863","2,281,717","3,015,146",870548
